date,rank,song,artist,last-week,peak-rank,weeks-on-board
2021-11-06,1,Easy On Me,Adele,1.0,1,3
2021-11-06,2,Stay,The Kid LAROI & Justin Bieber,2.0,1,16
2021-11-06,3,Industry Baby,Lil Nas X & Jack Harlow,3.0,1,14
2021-11-06,4,Fancy Like,Walker Hayes,4.0,3,19
2021-11-06,5,Bad Habits,Ed Sheeran,5.0,2,18
2021-11-06,6,Way 2 Sexy,Drake Featuring Future & Young Thug,6.0,1,8
2021-11-06,7,Shivers,Ed Sheeran,9.0,7,7
2021-11-06,8,Good 4 U,Olivia Rodrigo,7.0,1,24
2021-11-06,9,Need To Know,Doja Cat,11.0,9,20
2021-11-06,10,Levitating,Dua Lipa,8.0,2,56
2021-11-06,11,Essence,Wizkid Featuring Justin Bieber & Tems,12.0,9,17
2021-11-06,12,Kiss Me More,Doja Cat Featuring SZA,10.0,3,29
2021-11-06,13,Heat Waves,Glass Animals,14.0,12,41
2021-11-06,14,Beggin',Maneskin,15.0,14,18
2021-11-06,15,Cold Heart (PNAU Remix),Elton John & Dua Lipa,21.0,15,8
2021-11-06,16,You Right,Doja Cat & The Weeknd,16.0,11,18
2021-11-06,17,Save Your Tears,The Weeknd & Ariana Grande,17.0,1,46
2021-11-06,18,If I Didn't Love You,Jason Aldean & Carrie Underwood,23.0,15,14
2021-11-06,19,Traitor,Olivia Rodrigo,22.0,9,23
2021-11-06,20,My Universe,Coldplay x BTS,13.0,1,5
2021-11-06,21,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",19.0,17,3
2021-11-06,22,Knife Talk,Drake Featuring 21 Savage & Project Pat,18.0,4,8
2021-11-06,23,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,32.0,23,7
2021-11-06,24,Montero (Call Me By Your Name),Lil Nas X,24.0,1,31
2021-11-06,25,Chasing After You,Ryan Hurd With Maren Morris,25.0,23,26
2021-11-06,26,Girls Want Girls,Drake Featuring Lil Baby,26.0,2,8
2021-11-06,27,Moth To A Flame,Swedish House Mafia & The Weeknd,,27,1
2021-11-06,28,Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump,,28,1
2021-11-06,29,Thats What I Want,Lil Nas X,28.0,10,6
2021-11-06,30,Pepas,Farruko,29.0,25,14
2021-11-06,31,Love Nwantiti (Ah Ah Ah),CKay,31.0,31,6
2021-11-06,32,Take My Breath,The Weeknd,27.0,6,12
2021-11-06,33,Happier Than Ever,Billie Eilish,30.0,11,13
2021-11-06,34,Wockesha,Moneybagg Yo,33.0,20,27
2021-11-06,35,Better Days,NEIKED X Mae Muller X Polo G,57.0,35,2
2021-11-06,36,Buy Dirt,Jordan Davis Featuring Luke Bryan,34.0,34,12
2021-11-06,37,Ghost,Justin Bieber,38.0,32,5
2021-11-06,38,Lets Go Brandon,Loza Alexander,45.0,38,2
2021-11-06,39,Cold As You,Luke Combs,41.0,39,13
2021-11-06,40,A-O-K,Tai Verdes,36.0,34,17
2021-11-06,41,You Should Probably Leave,Chris Stapleton,40.0,40,17
2021-11-06,42,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),44.0,1,34
2021-11-06,43,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,51.0,43,11
2021-11-06,44,Memory I Don't Mess With,Lee Brice,35.0,33,14
2021-11-06,45,Bubbly,Young Thug With Drake & Travis Scott,20.0,20,2
2021-11-06,46,Wild Side,Normani Featuring Cardi B,47.0,14,15
2021-11-06,47,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,43.0,22,9
2021-11-06,48,Gyalis,Capella Grey,46.0,38,13
2021-11-06,49,I Was On A Boat That Day,Old Dominion,42.0,37,17
2021-11-06,50,Family Ties,Baby Keem & Kendrick Lamar,52.0,18,9
2021-11-06,51,Have Mercy,Chloe,53.0,28,7
2021-11-06,52,Fair Trade,Drake Featuring Travis Scott,48.0,3,8
2021-11-06,53,Same Boat,Zac Brown Band,55.0,53,6
2021-11-06,54,My Boy,Elvie Shane,37.0,28,18
2021-11-06,55,Hurricane,Kanye West,58.0,6,9
2021-11-06,56,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,63.0,56,5
2021-11-06,57,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",59.0,56,13
2021-11-06,58,Knowing You,Kenny Chesney,64.0,58,11
2021-11-06,59,Memory,Kane Brown X blackbear,62.0,50,16
2021-11-06,60,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,54.0,26,17
